,Title,PDF URL,Author,DOI,Published Date,Summary,Journal Ref,Primary Category,Category,Entry ID
112,Collaborative construction of lexicographic and parallel datasets for African languages: first assessment,http://arxiv.org/pdf/2103.16712v1,[arxiv.Result.Author('Elvis Mboning Tchiaze')],,2021-03-30 22:43:13+00:00,"Faced with a considerable lack of resources in African languages to carry out
work in Natural Language Processing (NLP), Natural Language Understanding (NLU)
and artificial intelligence, the research teams of NTeALan association has set
itself the objective of building open-source platforms for the collaborative
construction of lexicographic data in African languages. In this article, we
present our first reports after 2 years of collaborative construction of
lexicographic resources useful for African NLP tools.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2103.16712v1
113,Message-Passing Protocols for Real-World Parsing -- An Object-Oriented Model and its Preliminary Evaluation,http://arxiv.org/pdf/cmp-lg/9709010v1,"[arxiv.Result.Author('Udo Hahn'), arxiv.Result.Author('Peter Neuhaus'), arxiv.Result.Author('Norbert Broeker')]",,1997-09-23 12:43:09+00:00,"We argue for a performance-based design of natural language grammars and
their associated parsers in order to meet the constraints imposed by real-world
NLP. Our approach incorporates declarative and procedural knowledge about
language and language use within an object-oriented specification framework. We
discuss several message-passing protocols for parsing and provide reasons for
sacrificing completeness of the parse in favor of efficiency based on a
preliminary empirical evaluation.","Proc. Int'l Workshop on Parsing Technologies, 1997, Boston/MA:
  MIT, pp 101-112",cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9709010v1
114,Knowledge Engineering using Large Language Models,http://arxiv.org/pdf/2310.00637v1,"[arxiv.Result.Author('Bradley P. Allen'), arxiv.Result.Author('Lise Stork'), arxiv.Result.Author('Paul Groth')]",,2023-10-01 10:26:25+00:00,"Knowledge engineering is a discipline that focuses on the creation and
maintenance of processes that generate and apply knowledge. Traditionally,
knowledge engineering approaches have focused on knowledge expressed in formal
languages. The emergence of large language models and their capabilities to
effectively work with natural language, in its broadest sense, raises questions
about the foundations and practice of knowledge engineering. Here, we outline
the potential role of LLMs in knowledge engineering, identifying two central
directions: 1) creating hybrid neuro-symbolic knowledge systems; and 2)
enabling knowledge engineering in natural language. Additionally, we formulate
key open research questions to tackle these directions.",,cs.AI,"['cs.AI', 'cs.CL']",http://arxiv.org/abs/2310.00637v1
115,GreekBART: The First Pretrained Greek Sequence-to-Sequence Model,http://arxiv.org/pdf/2304.00869v1,"[arxiv.Result.Author('Iakovos Evdaimon'), arxiv.Result.Author('Hadi Abdine'), arxiv.Result.Author('Christos Xypolopoulos'), arxiv.Result.Author('Stamatis Outsios'), arxiv.Result.Author('Michalis Vazirgiannis'), arxiv.Result.Author('Giorgos Stamou')]",,2023-04-03 10:48:51+00:00,"The era of transfer learning has revolutionized the fields of Computer Vision
and Natural Language Processing, bringing powerful pretrained models with
exceptional performance across a variety of tasks. Specifically, Natural
Language Processing tasks have been dominated by transformer-based language
models. In Natural Language Inference and Natural Language Generation tasks,
the BERT model and its variants, as well as the GPT model and its successors,
demonstrated exemplary performance. However, the majority of these models are
pretrained and assessed primarily for the English language or on a multilingual
corpus. In this paper, we introduce GreekBART, the first Seq2Seq model based on
BART-base architecture and pretrained on a large-scale Greek corpus. We
evaluate and compare GreekBART against BART-random, Greek-BERT, and XLM-R on a
variety of discriminative tasks. In addition, we examine its performance on two
NLG tasks from GreekSUM, a newly introduced summarization dataset for the Greek
language. The model, the code, and the new summarization dataset will be
publicly available.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2304.00869v1
116,Description Logics based Formalization of Wh-Queries,http://arxiv.org/pdf/1312.6948v1,"[arxiv.Result.Author('Sourish Dasgupta'), arxiv.Result.Author('Rupali KaPatel'), arxiv.Result.Author('Ankur Padia'), arxiv.Result.Author('Kushal Shah')]",,2013-12-25 09:23:49+00:00,"The problem of Natural Language Query Formalization (NLQF) is to translate a
given user query in natural language (NL) into a formal language so that the
semantic interpretation has equivalence with the NL interpretation.
Formalization of NL queries enables logic based reasoning during information
retrieval, database query, question-answering, etc. Formalization also helps in
Web query normalization and indexing, query intent analysis, etc. In this paper
we are proposing a Description Logics based formal methodology for wh-query
intent (also called desire) identification and corresponding formal
translation. We evaluated the scalability of our proposed formalism using
Microsoft Encarta 98 query dataset and OWL-S TC v.4.0 dataset.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/1312.6948v1
117,Extracting and filtering paraphrases by bridging natural language inference and paraphrasing,http://arxiv.org/pdf/2111.07119v1,"[arxiv.Result.Author('Matej Klemen'), arxiv.Result.Author('Marko Robnik-Šikonja')]",,2021-11-13 14:06:37+00:00,"Paraphrasing is a useful natural language processing task that can contribute
to more diverse generated or translated texts. Natural language inference (NLI)
and paraphrasing share some similarities and can benefit from a joint approach.
We propose a novel methodology for the extraction of paraphrasing datasets from
NLI datasets and cleaning existing paraphrasing datasets. Our approach is based
on bidirectional entailment; namely, if two sentences can be mutually entailed,
they are paraphrases. We evaluate our approach using several large pretrained
transformer language models in the monolingual and cross-lingual setting. The
results show high quality of extracted paraphrasing datasets and surprisingly
high noise levels in two existing paraphrasing datasets.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2111.07119v1
118,Extension of hidden markov model for recognizing large vocabulary of sign language,http://arxiv.org/pdf/1304.3265v1,"[arxiv.Result.Author('Maher Jebali'), arxiv.Result.Author('Patrice Dalle'), arxiv.Result.Author('Mohamed Jemni')]",,2013-04-11 11:56:39+00:00,"Computers still have a long way to go before they can interact with users in
a truly natural fashion. From a users perspective, the most natural way to
interact with a computer would be through a speech and gesture interface.
Although speech recognition has made significant advances in the past ten
years, gesture recognition has been lagging behind. Sign Languages (SL) are the
most accomplished forms of gestural communication. Therefore, their automatic
analysis is a real challenge, which is interestingly implied to their lexical
and syntactic organization levels. Statements dealing with sign language occupy
a significant interest in the Automatic Natural Language Processing (ANLP)
domain. In this work, we are dealing with sign language recognition, in
particular of French Sign Language (FSL). FSL has its own specificities, such
as the simultaneity of several parameters, the important role of the facial
expression or movement and the use of space for the proper utterance
organization. Unlike speech recognition, Frensh sign language (FSL) events
occur both sequentially and simultaneously. Thus, the computational processing
of FSL is too complex than the spoken languages. We present a novel approach
based on HMM to reduce the recognition complexity.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1304.3265v1
119,"Knowledge Representation for Conceptual, Motivational, and Affective Processes in Natural Language Communication",http://arxiv.org/pdf/2210.08994v2,"[arxiv.Result.Author('Seng-Beng Ho'), arxiv.Result.Author('Zhaoxia Wang'), arxiv.Result.Author('Boon-Kiat Quek'), arxiv.Result.Author('Erik Cambria')]",,2022-09-26 01:37:50+00:00,"Natural language communication is an intricate and complex process. The
speaker usually begins with an intention and motivation of what is to be
communicated, and what effects are expected from the communication, while
taking into consideration the listener's mental model to concoct an appropriate
sentence. The listener likewise has to interpret what the speaker means, and
respond accordingly, also with the speaker's mental state in mind. To do this
successfully, conceptual, motivational, and affective processes have to be
represented appropriately to drive the language generation and understanding
processes. Language processing has succeeded well with the big data approach in
applications such as chatbots and machine translation. However, in human-robot
collaborative social communication and in using natural language for delivering
precise instructions to robots, a deeper representation of the conceptual,
motivational, and affective processes is needed. This paper capitalizes on the
UGALRS (Unified General Autonomous and Language Reasoning System) framework and
the CD+ (Conceptual Representation Plus) representational scheme to illustrate
how social communication through language is supported by a knowledge
representational scheme that handles conceptual, motivational, and affective
processes in a deep and general way. Though a small set of concepts,
motivations, and emotions is treated in this paper, its main contribution is in
articulating a general framework of knowledge representation and processing to
link these aspects together in serving the purpose of natural language
communication for an intelligent system.",,cs.AI,['cs.AI'],http://arxiv.org/abs/2210.08994v2
120,"Natural language processing: she needs something old and something new (maybe something borrowed and something blue, too)",http://arxiv.org/pdf/cmp-lg/9512004v1,[arxiv.Result.Author('Karen Sparck Jones')],,1995-12-21 16:38:12+00:00,"Given the present state of work in natural language processing, this address
argues first, that advance in both science and applications requires a revival
of concern about what language is about, broadly speaking the world; and
second, that an attack on the summarising task, which is made ever more
important by the growth of electronic text resources and requires an
understanding of the role of large-scale discourse structure in marking
important text content, is a good way forward.",,cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9512004v1
121,What is word sense disambiguation good for?,http://arxiv.org/pdf/cmp-lg/9712008v1,[arxiv.Result.Author('Adam Kilgarriff')],,1997-12-23 15:32:05+00:00,"Word sense disambiguation has developed as a sub-area of natural language
processing, as if, like parsing, it was a well-defined task which was a
pre-requisite to a wide range of language-understanding applications. First, I
review earlier work which shows that a set of senses for a word is only ever
defined relative to a particular human purpose, and that a view of word senses
as part of the linguistic furniture lacks theoretical underpinnings. Then, I
investigate whether and how word sense ambiguity is in fact a problem for
different varieties of NLP application.","Proc. Natural Language Processing Pacific Rim Symposium. Phuket,
  Thailand. December 1997. Pp 209--214.",cmp-lg,"['cmp-lg', 'cs.CL']",http://arxiv.org/abs/cmp-lg/9712008v1
122,Evaluation of Computational Grammar Formalisms for Indian Languages,http://arxiv.org/pdf/1209.1301v1,"[arxiv.Result.Author('Nisheeth Joshi'), arxiv.Result.Author('Iti Mathur')]",,2012-08-19 02:31:29+00:00,"Natural Language Parsing has been the most prominent research area since the
genesis of Natural Language Processing. Probabilistic Parsers are being
developed to make the process of parser development much easier, accurate and
fast. In Indian context, identification of which Computational Grammar
Formalism is to be used is still a question which needs to be answered. In this
paper we focus on this problem and try to analyze different formalisms for
Indian languages.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1209.1301v1
123,From Textual Information Sources to Linked Data in the Agatha Project,http://arxiv.org/pdf/1909.05359v1,"[arxiv.Result.Author('Paulo Quaresma'), arxiv.Result.Author('Vitor Beires Nogueira'), arxiv.Result.Author('Kashyap Raiyani'), arxiv.Result.Author('Roy Bayot'), arxiv.Result.Author('Teresa Gonçalves')]",,2019-09-03 08:27:37+00:00,"Automatic reasoning about textual information is a challenging task in modern
Natural Language Processing (NLP) systems. In this work we describe our
proposal for representing and reasoning about Portuguese documents by means of
Linked Data like ontologies and thesauri. Our approach resorts to a specialized
pipeline of natural language processing (part-of-speech tagger, named entity
recognition, semantic role labeling) to populate an ontology for the domain of
criminal investigations. The provided architecture and ontology are language
independent. Although some of the NLP modules are language dependent, they can
be built using adequate AI methodologies.",,cs.CL,"['cs.CL', 'cs.AI']",http://arxiv.org/abs/1909.05359v1
124,Parametrized Quantum Circuits of Synonymous Sentences in Quantum Natural Language Processing,http://arxiv.org/pdf/2102.02204v1,"[arxiv.Result.Author('Mina Abbaszadeh'), arxiv.Result.Author('S. Shahin Mousavi'), arxiv.Result.Author('Vahid Salari')]",,2021-02-02 23:11:41+00:00,"In this paper, we develop a compositional vector-based semantics of positive
transitive sentences in quantum natural language processing for a non-English
language, i.e. Persian, to compare the parametrized quantum circuits of two
synonymous sentences in two languages, English and Persian. By considering
grammar+meaning of a transitive sentence, we translate DisCoCat diagram via
ZX-calculus into quantum circuit form. Also, we use a bigraph method to rewrite
DisCoCat diagram and turn into quantum circuit in the semantic side.",,quant-ph,"['quant-ph', 'cs.CL']",http://arxiv.org/abs/2102.02204v1
125,The Role of Explanatory Value in Natural Language Processing,http://arxiv.org/pdf/2209.06169v1,[arxiv.Result.Author('Kees van Deemter')],,2022-09-13 17:19:04+00:00,"A key aim of science is explanation, yet the idea of explaining language
phenomena has taken a backseat in mainstream Natural Language Processing (NLP)
and many other areas of Artificial Intelligence. I argue that explanation of
linguistic behaviour should be a main goal of NLP, and that this is not the
same as making NLP models explainable. To illustrate these ideas, some recent
models of human language production are compared with each other. I conclude by
asking what it would mean for NLP research and institutional policies if our
community took explanatory value seriously, while heeding some possible
pitfalls.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2209.06169v1
126,Opportunities for Large Language Models and Discourse in Engineering Design,http://arxiv.org/pdf/2306.09169v1,"[arxiv.Result.Author('Jan Göpfert'), arxiv.Result.Author('Jann M. Weinand'), arxiv.Result.Author('Patrick Kuckertz'), arxiv.Result.Author('Detlef Stolten')]",,2023-06-15 14:46:44+00:00,"In recent years, large language models have achieved breakthroughs on a wide
range of benchmarks in natural language processing and continue to increase in
performance. Recently, the advances of large language models have raised
interest outside the natural language processing community and could have a
large impact on daily life. In this paper, we pose the question: How will large
language models and other foundation models shape the future product
development process? We provide the reader with an overview of the subject by
summarizing both recent advances in natural language processing and the use of
information technology in the engineering design process. We argue that
discourse should be regarded as the core of engineering design processes, and
therefore should be represented in a digital artifact. On this basis, we
describe how foundation models such as large language models could contribute
to the design discourse by automating parts thereof that involve creativity and
reasoning, and were previously reserved for humans. We describe how
simulations, experiments, topology optimizations, and other process steps can
be integrated into a machine-actionable, discourse-centric design process.
Finally, we outline the future research that will be necessary for the
implementation of the conceptualized framework.",,cs.CL,"['cs.CL', 'cs.AI', 'cs.CE']",http://arxiv.org/abs/2306.09169v1
127,Autonomous requirements specification processing using natural language processing,http://arxiv.org/pdf/1407.6099v1,"[arxiv.Result.Author('S. G. Macdonell'), arxiv.Result.Author('K. Min'), arxiv.Result.Author('A. M. Connor')]",,2014-07-23 03:29:44+00:00,"We describe our ongoing research that centres on the application of natural
language processing (NLP) to software engineering and systems development
activities. In particular, this paper addresses the use of NLP in the
requirements analysis and systems design processes. We have developed a
prototype toolset that can assist the systems analyst or software engineer to
select and verify terms relevant to a project. In this paper we describe the
processes employed by the system to extract and classify objects of interest
from requirements documents. These processes are illustrated using a small
example.",,cs.CL,"['cs.CL', 'cs.SE']",http://arxiv.org/abs/1407.6099v1
128,Semi-supervised Classification for Natural Language Processing,http://arxiv.org/pdf/1409.7612v1,[arxiv.Result.Author('Rushdi Shams')],,2014-09-25 15:18:44+00:00,"Semi-supervised classification is an interesting idea where classification
models are learned from both labeled and unlabeled data. It has several
advantages over supervised classification in natural language processing
domain. For instance, supervised classification exploits only labeled data that
are expensive, often difficult to get, inadequate in quantity, and require
human experts for annotation. On the other hand, unlabeled data are inexpensive
and abundant. Despite the fact that many factors limit the wide-spread use of
semi-supervised classification, it has become popular since its level of
performance is empirically as good as supervised classification. This study
explores the possibilities and achievements as well as complexity and
limitations of semi-supervised classification for several natural langue
processing tasks like parsing, biomedical information processing, text
classification, and summarization.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/1409.7612v1
129,New Approaches for Natural Language Understanding based on the Idea that Natural Language encodes both Information and its Processing Procedures,http://arxiv.org/pdf/2010.12789v3,[arxiv.Result.Author('Limin Zhang')],,2020-10-24 05:40:47+00:00,"We must recognize that natural language is a way of information encoding, and
it encodes not only the information but also the procedures for how information
is processed. To understand natural language, the same as we conceive and
design computer languages, the first step is to separate information (or data)
and the processing procedures of information (or data). In natural language,
some processing procedures of data are encoded directly as the structure chunk
and the pointer chunk (this paper has reclassified lexical chunks as the data
chunk, structure chunk, and the pointer chunk); some processing procedures of
data imply in sentences structures; some requests of processing procedures are
expressed by information senders and processed by information receivers. For
the data parts, the classification encoding system of attribute information and
the information organization architecture (including constitutional structures
of information sets and the hierarchy between the information sets) were
discussed. In section 2, the theoretical part elaborated in section 2 has been
verified in examples and proofed that the studies in this paper have achieved
the goal of enabling machines to understand the information conveyed in the
dialogue. In section 4, the author summarizes the basic conditions of
""Understanding"", rethinks what ""Understanding"" is and how to proceed. The study
in this paper provides a practical, theoretical basis and research methods for
NLU. It also can be applied in large-scale and multi-type information
processing in the artificial intelligence (AI) area.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2010.12789v3
130,Semantic Parsing Natural Language into SPARQL: Improving Target Language Representation with Neural Attention,http://arxiv.org/pdf/1803.04329v1,"[arxiv.Result.Author('Fabiano Ferreira Luz'), arxiv.Result.Author('Marcelo Finger')]",,2018-03-12 15:59:10+00:00,"Semantic parsing is the process of mapping a natural language sentence into a
formal representation of its meaning. In this work we use the neural network
approach to transform natural language sentence into a query to an ontology
database in the SPARQL language. This method does not rely on handcraft-rules,
high-quality lexicons, manually-built templates or other handmade complex
structures. Our approach is based on vector space model and neural networks.
The proposed model is based in two learning steps. The first step generates a
vector representation for the sentence in natural language and SPARQL query.
The second step uses this vector representation as input to a neural network
(LSTM with attention mechanism) to generate a model able to encode natural
language and decode SPARQL.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1803.04329v1
131,Towards a Natural Language Query Processing System,http://arxiv.org/pdf/2009.12414v1,"[arxiv.Result.Author('Chantal Montgomery'), arxiv.Result.Author('Haruna Isah'), arxiv.Result.Author('Farhana Zulkernine')]",,2020-09-25 19:52:20+00:00,"Tackling the information retrieval gap between non-technical database
end-users and those with the knowledge of formal query languages has been an
interesting area of data management and analytics research. The use of natural
language interfaces to query information from databases offers the opportunity
to bridge the communication challenges between end-users and systems that use
formal query languages. Previous research efforts mainly focused on developing
structured query interfaces to relational databases. However, the evolution of
unstructured big data such as text, images, and video has exposed the
limitations of traditional structured query interfaces. While the existing web
search tools prove the popularity and usability of natural language query, they
return complete documents and web pages instead of focused query responses and
are not applicable to database systems. This paper reports our study on the
design and development of a natural language query interface to a backend
relational database. The novelty in the study lies in defining a graph database
as a middle layer to store necessary metadata needed to transform a natural
language query into structured query language that can be executed on backend
databases. We implemented and evaluated our approach using a restaurant
dataset. The translation results for some sample queries yielded a 90% accuracy
rate.",,cs.IR,"['cs.IR', 'cs.AI', 'cs.DB']",http://arxiv.org/abs/2009.12414v1
132,Exploring Software Naturalness through Neural Language Models,http://arxiv.org/pdf/2006.12641v2,"[arxiv.Result.Author('Luca Buratti'), arxiv.Result.Author('Saurabh Pujar'), arxiv.Result.Author('Mihaela Bornea'), arxiv.Result.Author('Scott McCarley'), arxiv.Result.Author('Yunhui Zheng'), arxiv.Result.Author('Gaetano Rossiello'), arxiv.Result.Author('Alessandro Morari'), arxiv.Result.Author('Jim Laredo'), arxiv.Result.Author('Veronika Thost'), arxiv.Result.Author('Yufan Zhuang'), arxiv.Result.Author('Giacomo Domeniconi')]",,2020-06-22 21:56:14+00:00,"The Software Naturalness hypothesis argues that programming languages can be
understood through the same techniques used in natural language processing. We
explore this hypothesis through the use of a pre-trained transformer-based
language model to perform code analysis tasks. Present approaches to code
analysis depend heavily on features derived from the Abstract Syntax Tree (AST)
while our transformer-based language models work on raw source code. This work
is the first to investigate whether such language models can discover AST
features automatically. To achieve this, we introduce a sequence labeling task
that directly probes the language models understanding of AST. Our results show
that transformer based language models achieve high accuracy in the AST tagging
task. Furthermore, we evaluate our model on a software vulnerability
identification task. Importantly, we show that our approach obtains
vulnerability identification results comparable to graph based approaches that
rely heavily on compilers for feature extraction.",,cs.CL,"['cs.CL', 'cs.LG', 'cs.PL']",http://arxiv.org/abs/2006.12641v2
133,From BERT to GPT-3 Codex: Harnessing the Potential of Very Large Language Models for Data Management,http://arxiv.org/pdf/2306.09339v1,[arxiv.Result.Author('Immanuel Trummer')],10.14778/3554821.3554896,2023-06-15 17:59:29+00:00,"Large language models have recently advanced the state of the art on many
natural language processing benchmarks. The newest generation of models can be
applied to a variety of tasks with little to no specialized training. This
technology creates various opportunities for applications in the context of
data management.
  The tutorial will introduce participants to basic background on language
models, discuss different methods to use language models, and give an overview
and short demonstration of available libraries and APIs. Models for generating
natural language will be considered as well as models, such as GPT-3 Codex,
which complete program code or generate code from natural language
instructions. Finally, the tutorial will discuss recent research in the
database community that exploits language models in the context of traditional
database systems or proposes novel system architectures that are based on them.
  The tutorial is targeted at database researchers. No prior background on
language models is required. The goal of the tutorial is to introduce database
researchers to the latest generation of language models, and to their use cases
in the domain of data management.","PVLDB 2022, Volume 15, Issue 12, Pages 3770-3773",cs.DB,['cs.DB'],http://arxiv.org/abs/2306.09339v1
134,Reasoning about Procedures with Natural Language Processing: A Tutorial,http://arxiv.org/pdf/2205.07455v1,[arxiv.Result.Author('Li Zhang')],,2022-05-16 05:42:00+00:00,"This tutorial provides a comprehensive and in-depth view of the research on
procedures, primarily in Natural Language Processing. A procedure is a sequence
of steps intended to achieve some goal. Understanding procedures in natural
language has a long history, with recent breakthroughs made possible by
advances in technology. First, we discuss established approaches to collect
procedures, by human annotation or extraction from web resources. Then, we
examine different angles from which procedures can be reasoned about, as well
as ways to represent them. Finally, we enumerate scenarios where procedural
knowledge can be applied to the real world.",,cs.CL,['cs.CL'],http://arxiv.org/abs/2205.07455v1
135,One Model to Rule them all: Multitask and Multilingual Modelling for Lexical Analysis,http://arxiv.org/pdf/1711.01100v1,[arxiv.Result.Author('Johannes Bjerva')],,2017-11-03 10:53:05+00:00,"When learning a new skill, you take advantage of your preexisting skills and
knowledge. For instance, if you are a skilled violinist, you will likely have
an easier time learning to play cello. Similarly, when learning a new language
you take advantage of the languages you already speak. For instance, if your
native language is Norwegian and you decide to learn Dutch, the lexical overlap
between these two languages will likely benefit your rate of language
acquisition. This thesis deals with the intersection of learning multiple tasks
and learning multiple languages in the context of Natural Language Processing
(NLP), which can be defined as the study of computational processing of human
language. Although these two types of learning may seem different on the
surface, we will see that they share many similarities.
  The traditional approach in NLP is to consider a single task for a single
language at a time. However, recent advances allow for broadening this
approach, by considering data for multiple tasks and languages simultaneously.
This is an important approach to explore further as the key to improving the
reliability of NLP, especially for low-resource languages, is to take advantage
of all relevant data whenever possible. In doing so, the hope is that in the
long term, low-resource languages can benefit from the advances made in NLP
which are currently to a large extent reserved for high-resource languages.
This, in turn, may then have positive consequences for, e.g., language
preservation, as speakers of minority languages will have a lower degree of
pressure to using high-resource languages. In the short term, answering the
specific research questions posed should be of use to NLP researchers working
towards the same goal.",,cs.CL,['cs.CL'],http://arxiv.org/abs/1711.01100v1
136,"Sejarah dan Perkembangan Teknik Natural Language Processing (NLP) Bahasa Indonesia: Tinjauan tentang sejarah, perkembangan teknologi, dan aplikasi NLP dalam bahasa Indonesia",http://arxiv.org/pdf/2304.02746v1,[arxiv.Result.Author('Mukhlis Amien')],,2023-03-28 02:31:47+00:00,"This study provides an overview of the history of the development of Natural
Language Processing (NLP) in the context of the Indonesian language, with a
focus on the basic technologies, methods, and practical applications that have
been developed. This review covers developments in basic NLP technologies such
as stemming, part-of-speech tagging, and related methods; practical
applications in cross-language information retrieval systems, information
extraction, and sentiment analysis; and methods and techniques used in
Indonesian language NLP research, such as machine learning, statistics-based
machine translation, and conflict-based approaches. This study also explores
the application of NLP in Indonesian language industry and research and
identifies challenges and opportunities in Indonesian language NLP research and
development. Recommendations for future Indonesian language NLP research and
development include developing more efficient methods and technologies,
expanding NLP applications, increasing sustainability, further research into
the potential of NLP, and promoting interdisciplinary collaboration. It is
hoped that this review will help researchers, practitioners, and the government
to understand the development of Indonesian language NLP and identify
opportunities for further research and development.",,cs.CL,"['cs.CL', '68T50', 'I.2.7']",http://arxiv.org/abs/2304.02746v1
137,Evolution of Natural Language Processing Technology: Not Just Language Processing Towards General Purpose AI,http://arxiv.org/pdf/2310.06228v1,[arxiv.Result.Author('Masahiro Yamamoto')],,2023-10-10 00:41:38+00:00,"Since the invention of computers, communication through natural language
(actual human language) has been a dream technology. However, natural language
is extremely difficult to mathematically formulate, making it difficult to
realize as an algorithm without considering programming. While there have been
numerous technological developments, one cannot say that any results allowing
free utilization have been achieved thus far. In the case of language learning
in humans, for instance when learning one's mother tongue or foreign language,
one must admit that this process is similar to the adage ""practice makes
perfect"" in principle, even though the learning method is significant up to a
point. Deep learning has played a central role in contemporary AI technology in
recent years. When applied to natural language processing (NLP), this produced
unprecedented results. Achievements exceeding the initial predictions have been
reported from the results of learning vast amounts of textual data using deep
learning. For instance, four arithmetic operations could be performed without
explicit learning, thereby enabling the explanation of complex images and the
generation of images from corresponding explanatory texts. It is an accurate
example of the learner embodying the concept of ""practice makes perfect"" by
using vast amounts of textual data. This report provides a technological
explanation of how cutting-edge NLP has made it possible to realize the
""practice makes perfect"" principle. Additionally, examples of how this can be
applied to business are provided. We reported in June 2022 in Japanese on the
NLP movement from late 2021 to early 2022. We would like to summarize this as a
memorandum since this is just the initial movement leading to the current large
language models (LLMs).",,cs.CL,"['cs.CL', 'cs.AI', 'I.2.7']",http://arxiv.org/abs/2310.06228v1
138,The language (and series) of Hammersley-type processes,http://arxiv.org/pdf/1802.03436v2,"[arxiv.Result.Author('Cosmin Bonchis'), arxiv.Result.Author('Gabriel Istrate'), arxiv.Result.Author('Vlad Rochian')]",,2018-02-09 20:04:12+00:00,"We study languages and formal power series associated to (variants of)
Hammersley's process. We show that the ordinary Hammersley process yields a
regular language and the Hammersley tree process yields deterministic
context-free (but non-regular) languages. For the extension to intervals of the
Hammersley process we show that there are two relevant formal languages. One of
them leads to the same class of languages as the ordinary Hammersley tree
process. The other one yields non-context-free languages. The results are
motivated by the problem of studying the analog of the famous Ulam-Hammersley
problem for heapable sequences. Towards this goal we also give an algorithm for
computing formal power series associated to the variants of Hammersley's
process. We employ these algorithms to settle the nature of the scaling
constant, conjectured in previous work to be the golden ratio. Our results
provide experimental support to this conjecture.",,cs.FL,"['cs.FL', 'cs.DM', 'math.CO', 'math.PR']",http://arxiv.org/abs/1802.03436v2
139,LINDA: Unsupervised Learning to Interpolate in Natural Language Processing,http://arxiv.org/pdf/2112.13969v1,"[arxiv.Result.Author('Yekyung Kim'), arxiv.Result.Author('Seohyeong Jeong'), arxiv.Result.Author('Kyunghyun Cho')]",,2021-12-28 02:56:41+00:00,"Despite the success of mixup in data augmentation, its applicability to
natural language processing (NLP) tasks has been limited due to the discrete
and variable-length nature of natural languages. Recent studies have thus
relied on domain-specific heuristics and manually crafted resources, such as
dictionaries, in order to apply mixup in NLP. In this paper, we instead propose
an unsupervised learning approach to text interpolation for the purpose of data
augmentation, to which we refer as ""Learning to INterpolate for Data
Augmentation"" (LINDA), that does not require any heuristics nor manually
crafted resources but learns to interpolate between any pair of natural
language sentences over a natural language manifold. After empirically
demonstrating the LINDA's interpolation capability, we show that LINDA indeed
allows us to seamlessly apply mixup in NLP and leads to better generalization
in text classification both in-domain and out-of-domain.",,cs.CL,"['cs.CL', 'cs.LG']",http://arxiv.org/abs/2112.13969v1
140,SBNet: Segmentation-based Network for Natural Language-based Vehicle Search,http://arxiv.org/pdf/2104.11589v1,"[arxiv.Result.Author('Sangrok Lee'), arxiv.Result.Author('Taekang Woo'), arxiv.Result.Author('Sang Hun Lee')]",10.1109/CVPRW53098.2021.00457,2021-04-22 08:06:17+00:00,"Natural language-based vehicle retrieval is a task to find a target vehicle
within a given image based on a natural language description as a query. This
technology can be applied to various areas including police searching for a
suspect vehicle. However, it is challenging due to the ambiguity of language
descriptions and the difficulty of processing multi-modal data. To tackle this
problem, we propose a deep neural network called SBNet that performs natural
language-based segmentation for vehicle retrieval. We also propose two
task-specific modules to improve performance: a substitution module that helps
features from different domains to be embedded in the same space and a future
prediction module that learns temporal information. SBnet has been trained
using the CityFlow-NL dataset that contains 2,498 tracks of vehicles with three
unique natural language descriptions each and tested 530 unique vehicle tracks
and their corresponding query sets. SBNet achieved a significant improvement
over the baseline in the natural language-based vehicle tracking track in the
AI City Challenge 2021.","2021 IEEE/CVF Conference on Computer Vision and Pattern
  Recognition Workshops (CVPRW), pp. 4049-4055",cs.CV,"['cs.CV', 'cs.AI', 'cs.LG', 'I.2.10; I.5.1; I.4.8']",http://arxiv.org/abs/2104.11589v1
